Nazwa	Ilość wierzchołków	Średni czas	Najlepszy koszt
data17.txt	17	0	42
data34.txt	34	3	1636
data36.txt	36	3	2099
data39.txt	39	3	2525
data43.txt	43	7	5668
data45.txt	45	5	2503
data48.txt	48	8	19149
data53.txt	53	12	10878
data56.txt	56	14	2686
data65.txt	65	16	3354
data70.txt	70	30	46530
data71.txt	71	28	3820
data100.txt	100	61	69979
data171.txt	171	531	8517
data323.txt	323	4449	2065
data358.txt	358	6108	2185
data403.txt	403	8249	3291
data443.txt	443	15754	3769
