Nazwa	Ilość wierzchołków	Średni czas	Najlepszy koszt
data17.txt	17	0	63
data34.txt	34	0	2347
data36.txt	36	0	2977
data39.txt	39	0	2961
data43.txt	43	2	5786
data45.txt	45	3	2959
data48.txt	48	3	23642
data53.txt	53	6	11841
data56.txt	56	2	4239
data65.txt	65	9	4302
data70.txt	70	11	49831
data71.txt	71	7	4786
data100.txt	100	24	84550
data171.txt	171	120	12957
data323.txt	323	990	2897
data358.txt	358	1870	2776
data403.txt	403	2028	3980
data443.txt	443	5254	4090
